id,name,geburtsjahr,jahr,geschlecht,type
KF00,Klaus Fiedler,1951,2000,2,1
,,,,,
EH01,Eduard Hurt,1955,2001,2,1
JF01,Jochen Feldmann,1961,2001,2,1
,,,,,
UH,Universität Heidelberg,,,,2
LMU,Ludwig Maximilians Universität München,,,,2
,,,,,
1,Eduard Buchner Preis ,,,,3
2,Feldberg Preis,,,,3
3,Kulturpreis Ostbayern,,,,3
4,Wissenschaftspreis der Industrie und Handelskammer,,,,3
5,Dissertationspreis der Philipps Universität Marburg,,,,3
6,Gerhard Hess Preis,,,,3
7,Walter Schottky Preis,,,,3
8,Philip Morris Forschungspreis,,,,3
10,Preis für exzellente Lehre des Freistaates Bayern,,,,3
11,Koselleck Preis der Deutschen Forschungsgemeinschaft,,,,3
12,Deutscher Psychologie Preis der Deutschen Gesellschaft für Psychologie,,,,3
13,Dissertationspreis der Justus Liebig Universität Gießen,,,,3
14,Nanonica Preis,,,,3